HomeTeam,AwayTeam,Date,HT_HM_1h_s,HT_HM_1h_m,HT_HM_2h_s,HT_HM_2h_m,HT_AM_1h_s,HT_AM_1h_m,HT_AM_2h_s,HT_AM_2h_m,AT_HM_1h_s,AT_HM_1h_m,AT_HM_2h_s,AT_HM_2h_m,AT_AM_1h_s,AT_AM_1h_m,AT_AM_2h_s,AT_AM_2h_m,HT_FM_1h_s,HT_FM_2h_s,AT_FM_1h_s,AT_FM_2h_s
Bournemouth,Arsenal,2019-12-26,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,1
Chelsea,Southampton,2019-12-26,0,0,0,1,2,0,0,0,0,1,0,0,2,0,1,1,0,0,1,1
Crystal Palace,West Ham,2019-12-26,0,0,1,1,0,0,0,1,1,0,0,3,1,0,0,0,0,2,0,1
Everton,Burnley,2019-12-26,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
Sheffield United,Watford,2019-12-26,0,0,2,0,1,0,0,0,0,0,2,0,0,1,0,1,1,0,1,0
Man United,Newcastle,2019-12-26,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,1,3,1,1,0
Leicester,Liverpool,2019-12-26,1,1,0,0,1,2,0,1,1,0,1,0,2,0,1,0,0,0,1,3
Wolves,Man City,2019-12-27,0,1,1,1,0,1,2,0,2,1,1,0,3,0,0,0,0,3,1,1
Brighton,Bournemouth,2019-12-28,0,1,0,0,1,0,0,2,1,0,0,1,0,0,1,0,1,1,0,0
Newcastle,Everton,2019-12-28,0,0,1,0,1,3,0,1,0,0,1,0,1,0,0,1,0,1,1,1
Southampton,Crystal Palace,2019-12-28,0,1,0,0,1,0,1,0,0,0,2,1,0,0,0,1,0,1,0,1
Watford,Aston Villa,2019-12-28,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,2,1,2,0,0
Norwich,Tottenham,2019-12-28,1,0,0,2,0,0,0,1,0,1,2,0,1,0,1,1,1,1,0,2
West Ham,Leicester,2019-12-28,1,0,0,3,0,0,1,2,0,1,0,3,1,2,0,1,1,0,1,1
Burnley,Man United,2019-12-28,0,0,1,0,0,0,0,1,3,1,1,0,0,0,0,2,0,0,1,1
Arsenal,Chelsea,2019-12-29,0,3,0,0,0,1,1,0,0,1,0,1,2,0,0,0,1,0,0,2
Liverpool,Wolves,2019-12-29,1,0,1,0,1,0,3,0,0,1,3,1,0,1,2,0,1,0,0,0
Man City,Sheffield United,2019-12-29,2,1,1,0,1,0,1,3,1,1,0,0,1,0,0,0,0,2,0,0
Brighton,Chelsea,2020-01-01,1,0,1,0,1,0,0,2,0,1,0,1,0,1,2,0,0,1,1,0
Burnley,Aston Villa,2020-01-01,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,2,0,1,2,0
Newcastle,Leicester,2020-01-01,0,1,1,1,1,3,0,1,0,1,0,3,1,1,1,0,0,0,2,1
Southampton,Tottenham,2020-01-01,0,0,1,1,1,0,1,0,0,1,2,0,0,1,2,1,1,0,0,0
Watford,Wolves,2020-01-01,1,0,2,0,1,1,0,0,0,1,3,1,0,1,0,0,1,1,0,1
Man City,Everton,2020-01-01,0,0,2,0,1,0,1,3,0,0,1,0,1,0,1,1,0,2,0,1
Norwich,Crystal Palace,2020-01-01,1,0,1,2,0,0,0,1,0,0,2,1,0,0,1,1,1,0,0,1
West Ham,Bournemouth,2020-01-01,1,1,0,1,0,0,1,2,1,0,0,1,0,1,0,1,3,1,0,0
Arsenal,Man United,2020-01-01,1,0,0,2,0,1,1,0,3,1,1,0,1,0,1,0,2,0,0,0
Liverpool,Sheffield United,2020-01-02,1,0,0,0,1,0,3,0,1,1,0,0,0,0,0,2,1,1,0,0
Sheffield United,West Ham,2020-01-10,1,1,0,0,0,1,0,1,3,0,1,0,0,0,1,2,0,1,0,0
Crystal Palace,Arsenal,2020-01-11,0,0,2,1,0,1,1,0,2,0,0,0,0,1,1,0,0,1,1,0
Chelsea,Burnley,2020-01-11,0,1,0,1,1,0,0,1,0,2,1,0,0,0,0,1,2,1,0,0
Everton,Brighton,2020-01-11,0,0,1,0,0,0,1,2,0,1,1,0,1,0,0,2,1,0,0,0
Leicester,Southampton,2020-01-11,0,1,0,3,2,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1
Man United,Norwich,2020-01-11,3,1,1,0,0,2,0,0,1,0,0,1,0,0,0,1,1,3,0,0
Wolves,Newcastle,2020-01-11,0,1,3,1,0,1,1,1,0,2,0,1,1,3,0,1,1,0,1,0
Tottenham,Liverpool,2020-01-11,0,1,2,0,0,1,0,0,1,0,1,0,1,0,3,0,0,0,1,0
Bournemouth,Watford,2020-01-12,1,0,0,1,0,3,0,1,1,0,1,1,1,1,0,0,0,0,1,2
Aston Villa,Man City,2020-01-12,0,0,1,0,2,0,0,1,0,0,2,1,1,0,1,3,0,1,4,2
